5.000000000000000000e-01,7.810249675906655309e-01,3.605551275463989569e-01,4.472135954999579277e-01,1.858806610107421875e-01
4.990152223186409275e-01,7.711689801943982792e-01,3.596939390430512473e-01,4.375768799414397336e-01,2.014596462249755859e-01
4.980570890735842027e-01,7.612972896370072684e-01,3.587894917935382511e-01,4.279491284463428635e-01,2.084691524505615234e-01
4.971248414347874123e-01,7.514105658011924760e-01,3.578241245543160587e-01,4.183385515270842681e-01,2.164721488952636719e-01
4.962174343905796370e-01,7.415097866292746920e-01,3.567711243747483385e-01,4.087585347180134887e-01,2.234623432159423828e-01
4.953355316489426174e-01,7.315994240518801650e-01,3.555941272636333750e-01,3.992301195139935643e-01,2.329771518707275391e-01
4.944783019358084397e-01,7.216938562804882107e-01,3.542153357085111587e-01,3.898176407930547538e-01,2.399859428405761719e-01
4.936480413906191300e-01,7.119344961682547712e-01,3.524040869903179996e-01,3.808662263152440830e-01,2.499856948852539062e-01
4.928506302957553209e-01,7.021777457063156369e-01,3.496286878176128599e-01,3.730165051228809814e-01,2.565147876739501953e-01
4.921002850136652063e-01,6.924379630653334505e-01,3.460408456556371970e-01,3.661085134370261063e-01,2.655158042907714844e-01
4.914154185379707163e-01,6.827438789461857116e-01,3.417903096497483806e-01,3.599996348235964816e-01,2.715144157409667969e-01
4.908138160431059771e-01,6.731279790933661911e-01,3.370080219473808869e-01,3.545768586775607800e-01,2.815148830413818359e-01
4.903075182818565358e-01,6.636144396313363725e-01,3.318055072138701989e-01,3.497427762195839396e-01,2.875146865844726562e-01
4.899126598775334629e-01,6.542453597558499645e-01,3.263079241308371459e-01,3.454109008074247589e-01,2.958605289459228516e-01
4.896481968310651411e-01,6.450803007813997736e-01,3.206549896164810898e-01,3.415032378144968739e-01,3.028476238250732422e-01
4.895130834167307210e-01,6.361373502252842815e-01,3.149360199803911131e-01,3.379485538788313814e-01,3.108477592468261719e-01
4.894970008067346945e-01,6.274174740335106693e-01,3.092124409324699119e-01,3.346861899023655940e-01,3.209049701690673828e-01
4.895871135091480197e-01,6.189178103182195745e-01,3.035343361958668384e-01,3.316637517641989885e-01,3.285703659057617188e-01
4.897712367914303644e-01,6.106397745160666579e-01,2.979456640840653647e-01,3.288404123804938850e-01,3.370783329010009766e-01
4.900454085288575845e-01,6.026305104926477085e-01,2.924871751103926276e-01,3.262291910517988724e-01,3.440780639648437500e-01
4.903978667606977426e-01,5.948918126955421437e-01,2.871905368605979780e-01,3.238026540602015890e-01,3.515977859497070312e-01
4.908167646560233077e-01,5.874171720987431122e-01,2.820811605152142021e-01,3.215307990896953405e-01,3.585977554321289062e-01
4.912923558565204796e-01,5.802042181738089610e-01,2.771789536419868027e-01,3.193939782991594423e-01,3.655986785888671875e-01
4.918159441344616689e-01,5.732495314610157600e-01,2.724982659905192950e-01,3.173772086739246601e-01,3.715982437133789062e-01
4.923797445147323204e-01,5.665484014319065453e-01,2.680486067482961698e-01,3.154691973642768099e-01,3.795981407165527344e-01
4.929766297286644616e-01,5.600940076488035713e-01,2.638353733107555166e-01,3.136607156008695552e-01,3.885970115661621094e-01
4.936000324406762951e-01,5.538774695687228578e-01,2.598607027554088456e-01,3.119438139283856604e-01,3.965976238250732422e-01
4.942438953076968011e-01,5.478881961646335785e-01,2.561242614162145270e-01,3.103114317889696383e-01,4.040586948394775391e-01
4.949026818329103627e-01,5.421145435895424747e-01,2.526240123350931288e-01,3.087573760610304308e-01,4.100587368011474609e-01
4.955713641669250991e-01,5.365443328023659086e-01,2.493568254793260830e-01,3.072763016645395640e-01,4.191944599151611328e-01
4.962453866196829821e-01,5.311651891302311412e-01,2.463189495202762758e-01,3.058636314115938393e-01,4.262058734893798828e-01
4.969206008004101172e-01,5.259646926784469212e-01,2.435063416268129222e-01,3.045154036840819201e-01,4.337244033813476562e-01
